YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION (min)
2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,"Friday, July 1, 2011",5:00:00 PM,"Sunday, July 3, 2011",8:00:00 PM,severe weather,NA,3060
2014,5,Minnesota,MN,MRO,East North Central,-0.1,normal,"Sunday, May 11, 2014",6:38:00 PM,"Sunday, May 11, 2014",6:39:00 PM,intentional attack,vandalism,1
2010,10,Minnesota,MN,MRO,East North Central,-1.5,cold,"Tuesday, October 26, 2010",8:00:00 PM,"Thursday, October 28, 2010",10:00:00 PM,severe weather,heavy wind,3000
2012,6,Minnesota,MN,MRO,East North Central,-0.1,normal,"Tuesday, June 19, 2012",4:30:00 AM,"Wednesday, June 20, 2012",11:00:00 PM,severe weather,thunderstorm,2550
2015,7,Minnesota,MN,MRO,East North Central,1.2,warm,"Saturday, July 18, 2015",2:00:00 AM,"Sunday, July 19, 2015",7:00:00 AM,severe weather,NA,1740
2010,11,Minnesota,MN,MRO,East North Central,-1.4,cold,"Saturday, November 13, 2010",3:00:00 PM,"Sunday, November 14, 2010",10:00:00 PM,severe weather,winter storm,1860
2010,7,Minnesota,MN,MRO,East North Central,-0.9,cold,"Saturday, July 17, 2010",8:30:00 PM,"Monday, July 19, 2010",10:00:00 PM,severe weather,tornadoes,2970
2005,6,Minnesota,MN,MRO,East North Central,0.2,normal,"Wednesday, June 8, 2005",4:00:00 AM,"Friday, June 10, 2005",10:00:00 PM,severe weather,thunderstorm,3960
2015,3,Minnesota,MN,MRO,East North Central,0.6,warm,"Monday, March 16, 2015",7:31:00 AM,"Monday, March 16, 2015",10:06:00 AM,intentional attack,sabotage,155
2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,"Friday, June 21, 2013",5:39:00 PM,"Monday, June 24, 2013",6:00:00 AM,severe weather,hailstorm,3621
2013,6,Minnesota,MN,MRO,East North Central,-0.2,normal,"Friday, June 21, 2013",3:00:00 AM,"Wednesday, June 26, 2013",12:00:00 PM,severe weather,hailstorm,7740
2005,9,Minnesota,MN,MRO,East North Central,0,normal,"Wednesday, September 21, 2005",7:00:00 PM,"Tuesday, September 27, 2005",11:00:00 PM,severe weather,tornadoes,8880
2011,7,Minnesota,MN,MRO,East North Central,-0.3,normal,"Friday, July 8, 2011",10:00:00 AM,"Friday, July 8, 2011",10:00:00 AM,intentional attack,vandalism,0
2011,5,Minnesota,MN,MRO,East North Central,-0.4,normal,"Wednesday, May 11, 2011",3:55:00 PM,"Thursday, May 12, 2011",1:57:00 PM,intentional attack,vandalism,1322
2014,6,Minnesota,MN,MRO,East North Central,0,normal,"Sunday, June 15, 2014",12:00:00 AM,"Sunday, June 15, 2014",1:00:00 AM,severe weather,thunderstorm,60
2015,6,Tennessee,TN,SERC,Central,1,warm,"Sunday, June 7, 2015",1:54:00 PM,"Sunday, June 7, 2015",2:13:00 PM,system operability disruption,uncontrolled loss,19
2012,8,Tennessee,TN,SERC,Central,0.3,normal,"Monday, August 13, 2012",1:15:00 PM,"Monday, August 13, 2012",1:15:00 PM,intentional attack,vandalism,0
2015,6,Tennessee,TN,SERC,Central,1,warm,"Sunday, June 7, 2015",1:52:00 PM,"Sunday, June 7, 2015",2:13:00 PM,system operability disruption,uncontrolled loss,21
2011,4,Tennessee,TN,SERC,Central,-0.5,cold,"Tuesday, April 19, 2011",10:44:00 PM,"Wednesday, April 20, 2011",2:00:00 AM,severe weather,NA,196
2008,2,Tennessee,TN,SERC,Central,-1.3,cold,"Wednesday, February 6, 2008",9:00:00 AM,"Wednesday, February 6, 2008",11:00:00 PM,severe weather,NA,840
2015,1,Tennessee,TN,SERC,Central,0.6,warm,"Wednesday, January 7, 2015",5:00:00 PM,"Thursday, January 8, 2015",8:35:00 AM,severe weather,winter,935
2012,7,Tennessee,TN,SERC,Central,0.1,normal,"Thursday, July 5, 2012",7:00:00 PM,"Friday, July 6, 2012",4:00:00 PM,severe weather,wind storm,1260
2015,7,Tennessee,TN,SERC,Central,1.2,warm,"Thursday, July 30, 2015",1:00:00 PM,NA,NA,intentional attack,vandalism,NA
2013,4,Tennessee,TN,SERC,Central,-0.2,normal,"Sunday, April 21, 2013",2:11:00 AM,"Sunday, April 21, 2013",12:30:00 PM,intentional attack,NA,619
2014,1,Tennessee,TN,SERC,Central,-0.5,cold,"Tuesday, January 7, 2014",6:00:00 AM,"Tuesday, January 7, 2014",8:30:00 AM,severe weather,winter,150
2009,7,Tennessee,TN,SERC,Central,0.5,warm,"Monday, July 27, 2009",5:05:00 AM,"Monday, July 27, 2009",5:47:00 PM,equipment failure,computer hardware,762
2011,6,Tennessee,TN,SERC,Central,-0.3,normal,"Wednesday, June 22, 2011",9:46:00 AM,"Wednesday, June 22, 2011",9:46:00 AM,severe weather,NA,0
2011,4,Tennessee,TN,SERC,Central,-0.5,cold,"Monday, April 4, 2011",1:00:00 PM,"Tuesday, April 5, 2011",12:00:00 AM,severe weather,NA,660
2014,6,Tennessee,TN,SERC,Central,0,normal,"Thursday, June 5, 2014",1:06:00 PM,"Thursday, June 5, 2014",1:07:00 PM,severe weather,thunderstorm,1
2012,6,Tennessee,TN,SERC,Central,-0.1,normal,"Saturday, June 30, 2012",3:00:00 PM,"Monday, July 2, 2012",12:00:00 PM,public appeal,NA,2700
2014,6,Tennessee,TN,SERC,Central,0,normal,"Thursday, June 19, 2014",8:47:00 AM,"Thursday, June 19, 2014",8:48:00 AM,intentional attack,vandalism,1
2011,4,Tennessee,TN,SERC,Central,-0.5,cold,"Monday, April 4, 2011",2:00:00 PM,"Friday, April 8, 2011",12:01:00 AM,severe weather,NA,4921
2015,5,Tennessee,TN,SERC,Central,0.8,warm,"Saturday, May 2, 2015",10:51:00 PM,"Sunday, May 3, 2015",12:26:00 AM,intentional attack,vandalism,95
2015,2,Tennessee,TN,SERC,Central,0.5,warm,"Saturday, February 21, 2015",8:34:00 AM,"Saturday, February 21, 2015",12:45:00 PM,severe weather,winter,251
2014,6,Tennessee,TN,SERC,Central,0,normal,"Thursday, June 5, 2014",3:00:00 AM,"Saturday, June 7, 2014",11:45:00 PM,severe weather,thunderstorm,4125
2011,4,Tennessee,TN,SERC,Central,-0.5,cold,"Tuesday, April 19, 2011",11:02:00 PM,"Thursday, April 21, 2011",5:32:00 PM,severe weather,NA,2550
2016,7,Tennessee,TN,SERC,Central,-0.3,normal,"Wednesday, July 13, 2016",3:00:00 PM,NA,NA,system operability disruption,public appeal,NA
2014,1,Tennessee,TN,SERC,Central,-0.5,cold,"Thursday, January 23, 2014",4:00:00 PM,"Friday, January 24, 2014",12:00:00 PM,severe weather,winter,1200
2015,3,Tennessee,TN,SERC,Central,0.6,warm,"Wednesday, March 4, 2015",9:05:00 AM,"Wednesday, March 4, 2015",2:15:00 PM,intentional attack,vandalism,310
2013,1,Tennessee,TN,SERC,Central,-0.4,normal,"Thursday, January 17, 2013",7:02:00 PM,"Saturday, January 19, 2013",6:00:00 PM,severe weather,winter storm,2818
2011,4,Tennessee,TN,SERC,Central,-0.5,cold,"Monday, April 4, 2011",11:47:00 AM,"Friday, April 8, 2011",12:01:00 AM,severe weather,NA,5054
2009,6,Tennessee,TN,SERC,Central,0.4,normal,"Friday, June 12, 2009",4:37:00 PM,"Friday, June 12, 2009",6:53:00 PM,severe weather,storm,136
2014,3,Tennessee,TN,SERC,Central,-0.4,normal,"Monday, March 3, 2014",6:40:00 AM,"Monday, March 3, 2014",3:28:00 PM,severe weather,wind storm,528
2014,1,Tennessee,TN,SERC,Central,-0.5,cold,"Tuesday, January 7, 2014",6:00:00 AM,"Tuesday, January 7, 2014",8:30:00 AM,severe weather,winter,150
2011,4,Tennessee,TN,SERC,Central,-0.5,cold,"Monday, April 25, 2011",4:33:00 PM,"Monday, April 25, 2011",5:19:00 PM,equipment failure,NA,46
